decade,avg(danceability),avg(energy),avg(loudness),avg(speechiness),avg(acousticness),avg(instrumentalness),avg(liveness),avg(valence),avg(tempo)
1920,0.6044980792001063,0.2812560005262467,-14.789149190895927,0.2917108143665303,0.8901129887383223,0.3261121406814885,0.20462332587817464,0.5999094605972899,113.12064886199198
1930,0.5522532350216175,0.3067627750926493,-13.522755867819654,0.19452228227300816,0.8693909407272967,0.27482508944101314,0.21714564546016055,0.57256038295244,112.83435013897491
1940,0.47718324893090186,0.2685315676344812,-14.196273970290322,0.10001664415935184,0.9146834272563507,0.3819400739984246,0.21389444069322547,0.5043820751744326,107.11015653837488
1950,0.4877713953556825,0.3028147128940167,-14.272708744150465,0.10806722488742383,0.8364244313797558,0.24830142914942438,0.21083357859728685,0.5054985303028515,111.08317494187236
1960,0.4983213039211507,0.4063387456799078,-12.468499146648437,0.07663447326876312,0.6800565838548024,0.15957371884114882,0.2132387741605155,0.56396475594146,114.20092215300582
1970,0.524056981009577,0.5026020538548938,-11.427623145593225,0.10356125791267662,0.4993326471702649,0.1007382033129363,0.22255466028242196,0.5808344534978094,117.41579478980692
1980,0.5635851921297426,0.5506233901646133,-11.305605634831746,0.13873560000974042,0.40595191095736144,0.08086590462328928,0.2257954519553893,0.5806300652607994,118.87677536161289
1990,0.5722725236500176,0.5746292606268636,-10.31884349578532,0.09942431810652638,0.36627726598345356,0.07329183580465289,0.2166184275959805,0.5697618027386169,119.69521585011246
2000,0.5900959242329801,0.6492454836530681,-7.555116409261952,0.08037426183715399,0.3129212164921396,0.0558838711614379,0.21077038980077173,0.5640294649906511,121.43506035736553
2010,0.6084883570714059,0.6584178113237742,-7.283913180584014,0.0907281131805839,0.2877811493377794,0.08885333605573305,0.20557987233839892,0.5142258487400578,122.08340345829554
2020,0.661582475095406,0.6328855980373691,-7.6472813104029305,0.1178878574614661,0.2738751417921397,0.11514137585171264,0.1866025375427469,0.5030133399415179,121.86342414630526
